id,file,time,confidence
0,output/eng_01_001_024-300-1-15.png,111.86,0.89
1,output/eng_01_001_024-300-16-30.png,448.99,0.89
2,output/eng_01_001_024-300-31-45.png,257.64,0.9
3,output/eng_01_001_024-300-46-46.png,24.73,0.96
4,output/eng_01_002_079-300-1-15.png,83.18,0.89
5,output/eng_01_002_079-300-16-30.png,87.55,0.89
6,output/eng_01_002_133-300-1-15.png,170.16,0.9
7,output/eng_01_002_133-300-16-30.png,110.96,0.89
8,output/eng_01_002_133-300-31-35.png,56.62,0.93
9,output/eng_01_002_181-300-1-15.png,67.63,0.9
10,output/eng_01_002_181-300-31-40.png,88.65,0.92
11,output/eng_01_004_089-300-1-15.png,78.15,0.9
12,output/eng_01_004_089-300-16-30.png,79.67,0.9
13,output/eng_01_004_089-300-31-31.png,26.41,0.94
14,output/eng_01_004_117-300-1-15.png,106.0,0.89
15,output/eng_01_004_117-300-16-30.png,103.43,0.89
16,output/eng_01_004_117-300-31-45.png,530.09,0.89
17,output/eng_01_004_117-300-46-49.png,28.57,0.92
18,output/eng_02_008_061-300-1-15.png,129.24,0.9
19,output/eng_02_008_061-300-16-30.png,89.77,0.89
20,output/eng_02_008_061-300-31-41.png,63.46,0.93
21,output/eng_02_009_125-300-1-15.png,112.7,0.9
22,output/eng_02_009_125-300-16-30.png,379.55,0.9
23,output/eng_02_009_125-300-31-36.png,34.45,0.95
24,output/eng_02_011_126-300-1-15.png,125.38,0.89
25,output/eng_02_011_126-300-16-30.png,170.11,0.89
26,output/eng_02_011_126-300-31-35.png,28.09,0.94
27,output/eng_02_012_125-300-1-15.png,60.59,0.89
28,output/eng_02_012_125-300-16-30.png,117.0,0.89
29,output/eng_02_012_125-300-31-45.png,291.28,0.89
30,output/eng_02_012_125-300-46-49.png,25.84,0.94
31,output/eng_02_013_038-300-1-15.png,90.26,0.89
32,output/eng_02_013_038-300-16-29.png,85.85,0.92
33,output/eng_02_013_039-300-1-15.png,72.2,0.89
34,output/eng_02_013_039-300-16-30.png,82.94,0.89
35,output/eng_02_013_117-300-1-15.png,58.35,0.9
36,output/eng_02_013_117-300-16-30.png,85.96,0.89
37,output/eng_02_013_117-300-31-45.png,173.28,0.9
38,output/eng_02_013_117-300-46-49.png,34.6,0.92
39,output/eng_02_015_048-300-1-15.png,103.36,0.9
40,output/eng_02_015_048-300-16-30.png,160.22,0.89
41,output/eng_02_015_048-300-31-43.png,68.59,0.9
42,output/eng_02_016_119-300-1-15.png,84.21,0.9
43,output/eng_02_016_119-300-16-30.png,505.38,0.9
44,output/eng_02_016_119-300-31-45.png,258.62,0.89
45,output/eng_02_016_119-300-46-47.png,23.08,0.95
46,output/eng_03_019_163-300-1-15.png,62.54,0.9
47,output/eng_03_019_163-300-16-25.png,62.05,0.92
48,output/eng_04_020_020-300-1-15.png,117.34,0.9
49,output/eng_04_020_020-300-16-30.png,114.77,0.89
50,output/eng_04_020_020-300-31-34.png,26.71,0.93
51,output/eng_04_020_122-300-1-15.png,117.54,0.89
52,output/eng_04_020_122-300-16-27.png,69.01,0.94
53,output/eng_04_021_061-300-1-15.png,102.91,0.89
54,output/eng_04_021_061-300-16-30.png,81.11,0.89
55,output/eng_04_021_061-300-31-42.png,60.75,0.94
56,output/eng_04_022_182-300-1-15.png,118.11,0.9
57,output/eng_04_022_182-300-16-30.png,76.59,0.89
58,output/eng_04_022_182-300-31-31.png,24.4,0.97
59,output/eng_04_024_041-300-1-15.png,126.08,0.9
60,output/eng_04_024_041-300-16-30.png,169.53,0.9
61,output/eng_04_024_041-300-31-45.png,185.93,0.89
62,output/eng_04_024_041-300-46-49.png,45.69,0.94
63,output/eng_04_024_132-300-1-15.png,102.56,0.89
64,output/eng_04_024_132-300-16-30.png,88.66,0.89
65,output/eng_04_024_132-300-31-43.png,58.32,0.91
66,output/eng_04_025_012-300-1-15.png,69.48,0.9
67,output/eng_04_025_012-300-16-30.png,217.91,0.89
68,output/eng_04_025_012-300-31-45.png,91.78,0.89
69,output/eng_04_025_012-300-46-48.png,43.05,0.93
70,output/eng_04_026_029-300-1-15.png,69.37,0.9
71,output/eng_04_026_029-300-16-30.png,116.5,0.9
72,output/eng_04_026_029-300-31-42.png,108.82,0.94
73,output/eng_04_026_105-300-1-15.png,81.09,0.9
74,output/eng_04_026_105-300-16-30.png,1022.47,0.9
75,output/eng_04_026_105-300-31-45.png,80.56,0.9
76,output/eng_04_026_105-300-46-46.png,25.25,0.94
77,output/eng_04_027_123-300-1-15.png,141.2,0.9
78,output/eng_04_027_123-300-16-30.png,506.45,0.9
79,output/eng_04_027_123-300-31-45.png,77.64,0.9
80,output/eng_04_027_123-300-46-46.png,8.21,0.97
81,output/eng_04_027_144-300-1-15.png,66.55,0.9
82,output/eng_04_027_144-300-16-26.png,66.72,0.92
83,output/eng_05_035_050-300-1-15.png,90.8,0.9
84,output/eng_05_035_050-300-16-29.png,74.5,0.92
85,output/eng_05_035_051-300-1-15.png,119.38,0.89
86,output/eng_05_035_051-300-16-30.png,507.53,0.89
87,output/eng_05_035_051-300-31-36.png,32.69,0.94
88,output/eng_05_035_056-300-1-15.png,149.69,0.89
89,output/eng_05_035_056-300-16-28.png,69.16,0.91
90,output/eng_05_036_083-300-1-15.png,66.1,0.9
91,output/eng_05_036_083-300-16-27.png,55.58,0.94
92,output/eng_05_037_119-300-1-15.png,74.74,0.89
93,output/eng_05_037_119-300-16-30.png,180.71,0.9
94,output/eng_05_037_119-300-31-45.png,286.23,0.89
95,output/eng_05_037_168-300-1-15.png,80.08,0.89
96,output/eng_05_037_168-300-16-30.png,105.6,0.9
97,output/eng_05_037_168-300-31-39.png,53.46,0.95
98,output/eng_05_038_021-300-1-15.png,94.79,0.89
99,output/eng_01_002_181-300-16-30.png,266.62,0.89
100,output/eng_01_001_093-300-1-15.png,134.66,0.9
101,output/eng_01_001_093-300-16-30.png,148.31,0.9
102,output/eng_01_001_093-300-31-45.png,117.88,0.9
103,output/eng_01_001_093-300-46-47.png,19.82,0.91
104,output/eng_01_001_170-300-1-15.png,145.91,0.9
105,output/eng_01_001_170-300-16-30.png,299.89,0.89
106,output/eng_01_001_170-300-31-42.png,62.71,0.93
107,output/eng_01_002_007-300-1-15.png,97.89,0.89
108,output/eng_01_002_007-300-16-30.png,184.34,0.9
109,output/eng_01_002_007-300-31-36.png,58.55,0.94
110,output/eng_01_005_169-300-1-15.png,106.22,0.89
111,output/eng_01_005_169-300-16-30.png,136.95,0.9
112,output/eng_01_005_169-300-31-38.png,60.45,0.94
113,output/eng_02_006_084-300-1-15.png,72.24,0.89
114,output/eng_02_006_084-300-16-30.png,69.91,0.89
115,output/eng_02_006_084-300-31-32.png,15.11,0.93
116,output/eng_02_007_110-300-1-15.png,110.32,0.89
117,output/eng_02_007_110-300-16-30.png,126.64,0.9
118,output/eng_02_007_110-300-31-38.png,54.77,0.95
119,output/eng_02_007_153-300-1-15.png,106.32,0.89
120,output/eng_02_007_153-300-16-30.png,94.11,0.89
121,output/eng_02_007_153-300-31-45.png,133.55,0.9
122,output/eng_02_007_153-300-46-49.png,43.33,0.93
123,output/eng_02_008_056-300-1-15.png,100.0,0.9
124,output/eng_02_008_056-300-16-30.png,129.02,0.9
125,output/eng_02_008_056-300-31-44.png,86.92,0.93
126,output/eng_02_008_066-300-1-15.png,105.3,0.9
127,output/eng_02_008_066-300-16-30.png,107.56,0.9
128,output/eng_02_008_066-300-31-40.png,49.34,0.92
129,output/eng_02_008_149-300-1-15.png,124.5,0.9
130,output/eng_02_008_149-300-16-30.png,98.67,0.89
131,output/eng_02_008_149-300-31-37.png,36.2,0.94
132,output/eng_02_011_025-300-1-15.png,62.14,0.9
133,output/eng_02_011_025-300-16-30.png,92.51,0.9
134,output/eng_02_011_025-300-31-40.png,53.21,0.92
135,output/eng_02_013_141-300-1-15.png,117.51,0.9
136,output/eng_02_013_141-300-16-30.png,130.99,0.9
